Temp,Production
35,166.9523419
35,166.3856692
36,166.383307
36,166.6958192
37,169.3540747
37,171.5127956
38,171.7856236
38,168.464371
39,170.5269634
39,168.8603657
40,170.8565341
40,170.8296157
41,172.9456773
41,170.714
42,171.1449778
42,173.7806365
43,175.8405708
43,172.6302122
44,174.5486537
44,172.450508
45,172.2002169
45,172.4517821
46,175.2036242
46,175.0283787
47,177.1551373
47,174.6035737
48,174.2395424
48,174.4135341
49,180.9947654
49,177.7346797
50,176.133619
50,177.4127938
51,178.9194099
51,179.9455782
52,179.2564234
52,178.8627034
53,178.6028004
53,178.7597226
54,178.1301443
54,179.9824234
55,181.7955514
55,180.5729273
56,182.4241126
56,181.6772568
57,181.0361355
57,180.1815323
58,181.8690399
58,182.775353
59,180.4314714
59,181.6086711
60,184.1084974
60,181.1808208
61,182.783595
61,185.2807631
62,183.3108083
62,180.431832
63,184.5757543
63,180.8056059
64,188.2046569
64,182.4185988
65,184.8913447
65,184.9847749
66,180.1934205
66,180.0912254
67,180.6213178
67,180.3258213
68,181.4890486
68,182.743056
69,185.6039212
69,180.867851
70,180.2809852
70,181.0644761
71,186.543083
71,182.0122462
72,181.5336804
72,180.0857153
73,184.4701565
73,180.2931329
74,186.7086882
74,185.9253791
75,180.0521861
75,183.3132565
76,184.4801014
76,181.8105051
77,182.2452014
77,180.1065206
78,180.2022467
78,182.7216024
79,183.5344167
79,182.9756933
80,188.4706498
80,188.1731996
81,181.4260672
81,181.7776515
82,180.7003435
82,181.5882762
83,180.8955215
83,182.5393409
84,180.4467704
84,180.5117647
85,182.4646074
85,181.7670987
86,179.3163628
86,178.3954515
87,179.065876
87,178.8427176
88,179.4653629
88,178.5223327
89,176.6639394
89,176.6774715
90,176.8109201
90,180.9906926
91,178.1081211
91,177.1262697
92,174.026376
92,175.5202092
93,174.0203562
93,177.6903357
94,174.0561936
94,176.5065845
95,172.2210967
95,176.0782114
96,173.9773357
96,175.2951304
97,172.2481901
97,172.8629975
98,171.0134534
98,170.4005682
99,170.2787014
99,170.0836259
100,170.6054512
100,171.0409319
101,170.2538605
101,168.2879007
102,172.5759279
102,170.7022528
103,169.1064754
103,168.7994907
104,166.7915727
104,169.6850978
105,167.8367676
105,167.1870221
